Time(s),x(m),y(m),Yaw(rad),Speed(km/h),Track Error(m),Yaw Angle(rad),Curvature
0.2,0.041666666666666664,0.0,0.34051543185728006,2.7750000000000004,2.2560655249249456e-05,0.34051543185728006,0.001560322831791619
0.30000000000000004,0.11432407930427696,0.025743750049008148,0.8995984457966898,3.8587499999999997,0.0014910653595209616,0.8995984457966898,0.0015450361959271379
0.4,0.18098660804216948,0.10967984132397551,1.51538228714456,4.7799375,0.016799494715942623,1.51538228714456,0.0015327575750507252
0.5,0.18834049991229945,0.24225207640746063,2.0602917313450733,4.062946875,0.06872654427227064,2.0602917313450733,0.001534444049047745
0.6,0.1352760880116439,0.3418586298867397,2.368213729304541,3.4535048437499998,0.1260640613758399,2.368213729304541,0.0015483779854462874
0.7,0.06663246180329958,0.40887168745637137,2.561499232061662,4.4354791171875,0.17123195043921335,2.561499232061662,0.001565200679490715
0.7999999999999999,-0.03641991362880295,0.4764021130436375,2.7573265951559276,5.270157249609374,0.22010572333070003,2.7573265951559276,0.0015902873018931994
0.8999999999999999,-0.17213726977461047,0.5312818444243325,2.928012380358271,5.979633662167968,0.2583137458391744,2.928012380358271,0.0016236588954686227
0.9999999999999999,-0.3344641099747052,0.5664886275567458,3.058680638480789,6.582688612842773,0.2754226762834054,3.058680638480789,0.0016646111227070592
1.0999999999999999,-0.5166884307210627,0.5816319294880276,3.1445562676477663,7.095285320916357,0.2696000256814663,3.1445562676477663,0.0017124171830814182
1.2,-0.7137788241089595,0.5810478279174345,3.1890747332152873,7.530992522778904,0.2464207093040211,3.1890747332152873,0.0017668252067596871
1.3,-0.9227372859429027,0.5711185824859822,3.201497358975437,7.901343644362068,0.21440047304091206,3.201497358975437,0.0018281744311301738
1.4000000000000001,-1.1418253583437974,0.5579784541872446,3.193343214307082,8.216142097707758,0.18097677130305256,3.193343214307082,0.0018972444319456118
1.5000000000000002,-1.3697459873278306,0.5461728930509394,3.175011665166852,8.483720783051593,0.15071747072229003,3.175011665166852,0.001975063135126496
1.6000000000000003,-1.6052733147051519,0.5382988710367803,3.1539141621221622,8.711162665593855,0.12545490629049283,3.1539141621221622,0.002062822709415872
1.7000000000000004,-1.847231687245815,0.5353174280030464,3.1342400660627585,8.904488265754777,0.10525664218508927,3.1342400660627585,0.0021619152945634833
1.8000000000000005,-2.094571897693098,0.5371360513213549,3.1177055287233624,9.06881502589156,0.08938496508038805,3.1177055287233624,0.0022740366727457416
1.9000000000000006,-2.3464115599115476,0.5431529212207157,3.1045537930123457,9.208492772007826,0.0769130645940917,3.1045537930123457,0.002401319732106826
2.0000000000000004,-2.6020275886194595,0.5526249795658641,3.0943622182704926,9.327218856206652,0.06701166623080489,3.0943622182704926,0.0025464944488932414
2.1000000000000005,-2.8608280778139625,0.5648573363142063,3.0865298493478543,9.428136027775654,0.05903240722757519,3.0865298493478543,0.00271309591624415
2.2000000000000006,-3.1223238277379317,0.5792705951269512,3.0805034980956774,9.513915623609307,0.05249871930281515,3.0805034980956774,0.0029057573963124713
2.3000000000000007,-3.3861062923111698,0.5954049185965216,3.075848349216343,9.58682828006791,0.04706838164421572,3.075848349216343,0.0031306400187095743
2.400000000000001,-3.651831767388194,0.6129000688845456,3.072247454496275,9.648804038057724,0.042495788482731715,3.072247454496275,0.003396089702142907
2.500000000000001,-3.919209932888658,0.6314712386305636,3.0694784640455963,9.701483432349065,0.038602497368521366,3.0694784640455963,0.0037136700730535425
2.600000000000001,-4.187995163228381,0.6508881382660892,3.067389120351468,9.746260917496706,0.03525650967919138,3.067389120351468,0.004099828471355389
2.700000000000001,-4.457979634616102,0.670958790929192,3.0658785308354544,9.7843217798722,0.032358336166449786,3.0658785308354544,0.004578728574373378
2.800000000000001,-4.728987696686522,0.6915172282571422,3.064885297587388,9.81667351289137,0.029831769981474132,3.064885297587388,0.0051872772679366335
2.9000000000000012,-5.000871222443282,0.7124136958116765,3.0643819580100646,9.844172485957666,0.02761779816655652,3.0643819580100646,0.005984610090479544
3.0000000000000013,-5.273505780360718,0.7335059300600509,3.0643757925420796,9.867546613064015,0.02567064860076457,3.0643757925420796,0.0070713614814879745
3.1000000000000014,-5.546787554847963,0.754649930885447,3.064918156614192,9.887414621104412,0.023955459316239096,3.064918156614192,0.008632683048069922
3.2000000000000015,-5.820631024521662,0.7756879847621715,3.066129564734973,9.90430242793875,0.02244759213138929,3.066129564734973,0.011047022497282148
3.3000000000000016,-6.09496754960061,0.7964296536596304,3.068262265033998,9.918657063747938,0.021134669860201256,3.068262265033998,0.015213439235068987
3.4000000000000017,-6.369745354794925,0.8166154117930192,3.071874122933402,9.930858504185748,0.0200261010668225,3.071874122933402,0.023834329622747893
3.5000000000000018,-6.644932381136585,0.8358321925182843,3.078437627296534,9.941229728557886,0.033053405003097586,3.078437627296534,0.05477665502179383
3.600000000000002,-6.920527123771946,0.8532605632514365,5.359706586491396,9.950045269274202,0.019118385792754322,5.359706586491396,0.3055375368868201
3.700000000000002,-6.753850371937765,0.6327829602897447,3.6216753943485487,9.957538478883073,0.005165698209176331,3.6216753943485487,0.07342727746595218
3.800000000000002,-6.999181082679167,0.5050353301921879,3.225743320549677,9.963907707050613,0.03804882015592531,3.225743320549677,0.5906955342733216
3.900000000000002,-7.274976905947425,0.4817719899454183,5.229176654163606,9.96932155099302,0.1134302641823356,5.229176654163606,384.65352010937323
